title,genre,image,details,credits,opening_date,cinema_name,status,mtrcb_ratings,score,trailer_link
Changing Partners,"Indie, Musical",https://cdn3.clickthecity.com/images/movies/poster/215/16341.jpg,"It tells the story of Alex and Cris which despite their 15-year age gap, are celebrating their first anniversary of living with each other.","Main Cast: Agot Isidro, Jojit Lorenzo
Director: Dan Villegas
Writer: Lilit Reyes, Vincent de Jesus
Film ProducerAntoinette Jadaone, Dan Villegas
Released By: Cinema One Originals / Star Cinema",opened,"Alabang Town Center Cinema 2,Ali Mall Cineplex 3,Ayala Fairview Terraces Cinema 1,Ayala Malls Cloverleaf Cinema 5,Ayala Malls South Park Cinema 3,Blue Wave Cinema 2,Festival Cinema 1,Gateway Cineplex 6,Glorietta 4 Cinema 4,Greenhills Theater Mall Cinema 1,Market Market Cinema 3,Power Plant Cinema 1,Robinsons Galleria Cinema 9,Robinsons Manila Cinema 5 (Pedro Gil),Robinsons Metro East Cinema 2,SM City Fairview Cinema 12,SM City Manila Cinema 12,SM City Marikina Cinema 6,SM City North EDSA Cinema 5,SM Mall of Asia Cinema 2,SM Megamall Cinema 11,SM San Lazaro Cinema 1,SM Southmall Cinema 5,Santolan Town Plaza Power Plant Cinema 4,TriNoma Cinema 1",showing,R-13,"
It tells the story of Alex and Cris which despite their 15-year age gap, are celebrating their first anniversary of living with each other.
",https://www.clickthecity.com/movies/video/3891
Paddington 2,"Adventure, Animation, Comedy",https://cdn3.clickthecity.com/images/movies/poster/215/16424.jpg,"Paddington now happily settles with the Brown family. He then picks up a series of odd jobs to buy the perfect present for Aunt Lucy's 100th birthday, only for the gift to be stolen.","Main Cast: Hugh Grant, Xian Lim
Director: Paul King
Writer: Paul King, Simon Farnaby
Released By: Captive Cinema Distribution",opened,"Alabang Town Center Cinema 4,Ayala Fairview Terraces Cinema 1,Ayala Malls Cloverleaf Cinema 1,Ayala Malls South Park Cinema 3,Evia Lifestyle Center Cinema 4,Fisher Mall Cinema 1,Forum Robinsons Cinema 3,Gateway Cineplex 4,Greenhills Dolby Atmos Cinema 6,Power Plant Cinema 5,Power Plant Dolby Atmos Cinema 3,Robinsons Galleria Cinema 3,Robinsons Magnolia Cinema 4,Robinsons Manila Cinema 1 (Midtown),Robinsons Metro East Cinema 4,Robinsons Place Las Piñas Cinema 3,SM Aura Premier Cinema 2,SM City Fairview Cinema 2,SM City Manila Cinema 7,SM City North EDSA Cinema 10,SM Mall of Asia Cinema 3,SM Megamall Digital Theater 2,SM San Lazaro Cinema 5,Santolan Town Plaza Power Plant Cinema 3,Shangri-la Plaza Cinema 4,Starmall Alabang Cinema 1,TriNoma Cinema 3,U.P. Town Center Cinema 3",showing,PG,"
Paddington now happily settles with the Brown family. He then picks up a series of odd jobs to buy the perfect present for Aunt Lucy's 100th birthday, only for the gift to be stolen.
", 
Winchester,"Biography, Fantasy, Horror",https://cdn3.clickthecity.com/images/movies/poster/215/16431.jpg,It follows Sarah Winchester as she is haunted by spirits inside her San Jose mansion.,"Main Cast: Helen Mirren, Jason Clarke, Sarah Snook
Director: Michael Spierig, Peter Spierig
Writer: Michael Spierig, Peter Spierig
Released By: Pioneer Films",opened,"Alabang Town Center Cinema 5,Ayala Fairview Terraces Cinema 2,Ayala Malls Cloverleaf Cinema 6,Ayala Malls Feliz Cinema 4,Ayala Malls South Park Cinema 1,Ayala Malls The 30th Cinema 2,Bonifacio High Street Cinema 3,Century City Mall Cinema 2,Commercenter Cinemas Cinema 2,Eastwood Citywalk 2 Cinema 4,Evia Lifestyle Center Cinema 3,Festival Cinema 10,Fisher Mall Cinema 4,Forum Robinsons Cinema 4,Gateway Cineplex 9,Glorietta 4 Cinema 5,Greenbelt 3 Cinema 4,Greenhills Promenade Cinema 3,Market Market Cinema 2,Power Plant Dolby Atmos Cinema 4,Robinsons Galleria Cinema 7,Robinsons Magnolia Cinema 2,Robinsons Manila Cinema 3 (Midtown),Robinsons Metro East Cinema 5,Robinsons Place Las Piñas Cinema 4,SM Aura Premier Director's Club 2,SM Center Sangandaan Cinema 4,SM City BF Parañaque Director's Club 2,SM City Bicutan Cinema 3,SM City Fairview Cinema 7,SM City Manila Cinema 3,SM City Marikina Digital Theater 1,SM City North EDSA - The Block Cinema 2,SM City Novaliches Cinema 1,SM City Sta. Mesa Cinema 1,SM City Sucat Cinema 3,SM Light Mall Cinema 2,SM Mall of Asia Cinema 1,SM Megamall Cinema 6,SM Muntinlupa Cinema 3,SM San Lazaro Cinema 2,SM Southmall Cinema 2,SM Valenzuela Cinema 3,Shangri-la Plaza Premiere Theatre,Starmall Alabang Cinema 2,TriNoma Cinema 4,U.P. Town Center Cinema 3,Waltermart Makati Cinema - 2",showing,R-13,"
It follows Sarah Winchester as she is haunted by spirits inside her San Jose mansion.
",https://www.clickthecity.com/movies/video/3902
Fifty Shades Freed,"Drama, Romance, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/16225.jpg,Anastasia Steele and Christian Grey are a newlywed couple who must deal with the sins of their past.,"Main Cast: Dakota Johnson, Jamie Dornan
Director: James Foley
Writer: E.L. James, Niall Leonard
Released By: UIP-Columbia Pictures",opened,"Alabang Town Center Cinema 1,Ali Mall Cineplex 1,Ali Mall Cineplex 2,Ayala Fairview Terraces Cinema 4,Ayala Malls Cloverleaf Cinema 3,Ayala Malls Feliz Cinema 1,Ayala Malls South Park Cinema 2,Ayala Malls The 30th Cinema 2,Ayala Malls The 30th Cinema 3,Ayala Malls Vertis North Cinema 2,Blue Wave Cinema 1,Bonifacio High Street Cinema 1 (ATMOS),Bonifacio High Street Cinema 3,Cash & Carry Cinema 1,Century City Mall Cinema 4,Century City Mall Premier Cinema 3,Commercenter Cinemas Cinema 3,Commercenter Cinemas Cinema 4,Eastwood Citywalk 2 Cinema 1,Eastwood Citywalk 2 Cinema 2,Eastwood Mall Cinema 6,Eastwood Mall Ultra Cinema 7,Evia Lifestyle Center Cinema 4,Festival Cinema 2,Fisher Mall Cinema 2,Fisher Mall Cinema 4,Fisher Mall VIP Cinema 1,Fisher Mall VIP Parkway Cinema,Forum Robinsons Cinema 2,Forum Robinsons Cinema 3,Gateway Cineplex 10 (Platinum Cinema),Gateway Cineplex 2,Gateway Cineplex 3,Gateway Cineplex 5,Glorietta 4 Cinema 6,Greenbelt 3 Cinema 2,Greenbelt 3 Cinema 3,Greenbelt Cinema 2,Greenhills Dolby Atmos Cinema 8,Greenhills Promenade Cinema 5,Isetann Cinerama 1,Lucky Chinatown Cinema 1,Lucky Chinatown Cinema 2,Lucky Chinatown Cinema 3,Market Market Cinema 1,Newport Cinema 3,Newport Cinema 4,Newport Ultra Cinema 1,One Mall Sky Theater Cinema 3,Power Plant Dolby Atmos Cinema 2,Power Plant VIP Cinema 8,Robinsons Galleria Cinema 4,Robinsons Galleria Cinema 6,Robinsons Magnolia Cinema 2,Robinsons Magnolia Cinema 3,Robinsons Manila Cinema 1 (Midtown),Robinsons Manila Cinema 2 (Midtown),Robinsons Manila Cinema 7 (Pedro Gil),Robinsons Metro East Cinema 1,Robinsons Metro East Cinema 2,Robinsons Metro East Cinema 3,Robinsons Place Las Piñas Cinema 1,Robinsons Place Las Piñas Cinema 2,Santolan Town Plaza Power Plant Cinema 2,Shangri-la Plaza Cinema 1,Shangri-la Plaza Cinema 2,Shangri-la Plaza Cinema 3,Starmall Alabang Cinema 3,Starmall EDSA-Shaw Cinema 1,Starmall EDSA-Shaw Cinema 2,TriNoma Cinema 1,TriNoma Cinema 7,U.P. Town Center Cinema 1,U.P. Town Center Cinema 2,Uptown Mall Cinema 1,Uptown Mall Cinema 3,Uptown Mall Cinema 4,Uptown Mall VIP Cinema,Venice Cineplex Cinema 3,Venice Cineplex Cinema 5,Venice Cineplex VIP Cinema,Vista Mall Las Piñas Cinema 3,Vista Mall Taguig Cinema 3,Vista Mall Taguig VIP Cinema 1",showing,R-18,3.9 - user rating,https://www.clickthecity.com/movies/video/3867
"I,Tonya","Biography, Comedy, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16425.jpg,"Tonya Harding dominated the ice with unrivaled athleticism. She dominated the headlines for something else entirely. ""I, Tonya"" is an at times absurd, tragic and hilarious look at the woman at the center of the biggest scandal in sports history.","Main Cast: Margot Robbie
Director: Craig Gillespie
Writer: Steven Rogers
Released By: Solar Pictures",opened,"Ayala Fairview Terraces Cinema 3,Festival Cinema 6,Gateway Cineplex 4,Glorietta 4 Cinema 4,Greenhills Dolby Atmos Cinema 6,Market Market Cinema 2,Power Plant Dolby Atmos Cinema 6,Robinsons Galleria Cinema 7,S Maison Director's Club Cinema 3,SM Aura Premier Director's Club 1,SM City BF Parañaque Director's Club 1,SM City East Ortigas Director's Club Cinema 2,SM City Fairview Cinema 5,SM City Manila Cinema 8,SM City Marikina Cinema 4,SM City North EDSA Cinema 5,SM City Sta. Mesa Cinema 4,SM Mall of Asia Cinema 5,SM Megamall Cinema 4,SM Southmall Cinema 4,Santolan Town Plaza Power Plant Cinema 3,Shangri-la Plaza Premiere Theatre,Starmall Alabang Cinema 1,TriNoma Cinema 5,Vista Mall Las Piñas Cinema 2",showing,R-13,"
Tonya Harding dominated the ice with unrivaled athleticism. She dominated the headlines for something else entirely. ""I, Tonya"" is an at times absurd, tragic and hilarious look at the woman at the center of the biggest scandal in sports history.
",https://www.clickthecity.com/movies/video/3908
Along with the Gods: The Two Worlds,"Action, Drama, Fantasy",https://cdn3.clickthecity.com/images/movies/poster/215/16391.jpg,"After a heroic death, a firefighter navigates the afterlife with the help of three guides.","Main Cast: Jung-woo Ha
Director: Yong-hwa Kim
Writer: Ho-min Ju, Yong-hwa Kim
Released By: Viva International Pictures",opened,"Alabang Town Center Cinema 4,Ayala Fairview Terraces Cinema 1,Ayala Malls Cloverleaf Cinema 4,Ayala Malls Feliz Cinema 4,Ayala Malls South Park Cinema 4,Bonifacio High Street Cinema 4,Festival Cinema 10,Forum Robinsons Cinema 4,Gateway Cineplex 6,Glorietta 4 Cinema 5,Greenbelt 3 Cinema 5,Greenhills Promenade Cinema 4,Market Market Cinema 3,Robinsons Galleria Cinema 5,Robinsons Magnolia Cinema 3,Robinsons Manila Cinema 1 (Midtown),Robinsons Metro East Cinema 8,Robinsons Place Las Piñas Cinema 3,SM Aura Premier Director's Club 2,SM Center Sangandaan Cinema 4,SM City BF Parañaque Cinema 1,SM City Bicutan Cinema 3,SM City East Ortigas Digital Cinema 3,SM City Fairview Cinema 1,SM City Manila Cinema 7,SM City Marikina Cinema 3,SM City North EDSA Cinema 10,SM City Novaliches Cinema 3,SM City Sta. Mesa Cinema 3,SM City Sucat Cinema 3,SM Light Mall Cinema 3,SM Mall of Asia Cinema 4,SM Megamall Digital Theater 3,SM Muntinlupa Cinema 3,SM San Lazaro Cinema 3,SM Southmall Cinema 5,SM Valenzuela Cinema 3,Starmall Alabang Cinema 2,Starmall EDSA-Shaw Cinema 3,TriNoma Cinema 3,U.P. Town Center Cinema 4,Vista Mall Las Piñas Cinema 4,Vista Mall Taguig Cinema 2,Waltermart Makati Cinema - 1",showing,PG,"
After a heroic death, a firefighter navigates the afterlife with the help of three guides.
", 
Fate Stay Night: Heaven's Feel,"Action, Animation, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16460.jpg,"Jesse and Celeste meet at an unexpected time in their lives at a coffee shop. They then realize their names are the same as the characters in the popular break-up romantic comedy, ""Celeste and Jesse Forever.""","Main Cast: Ayako Kawasumi, Jôji Nakata, Noriaki Sugiyama
Director: Tomonori Sudô
",opened,"SM City East Ortigas Director's Club Cinema 4,SM City Fairview Cinema 2,SM City Manila Cinema 5,SM City Marikina Cinema 7,SM City North EDSA - The Block Cinema 2,SM City Sta. Mesa Cinema 6,SM Mall of Asia Cinema 7,SM Megamall Cinema 11,SM San Lazaro Cinema 2,SM Southmall Cinema 7",showing,NULL,, 
Meet Me In St. Gallen,"Comedy, Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16411.jpg,"After losing the love of his life to a Philistine prince, a young Hebrew with supernatural strength defends his people, sacrificing everything to avenge his love, his people and his God.","Main Cast: Bela Padilla, Carlo Aquino
Director: Irene Emma Villamor
Writer: Irene Emma Villamor
Released By: Spring Films / Viva Films",opened,"Alabang Town Center Cinema 2,Ali Mall Cineplex 4,Ayala Fairview Terraces Cinema 6,Ayala Malls Cloverleaf Cinema 5,Ayala Malls Feliz Cinema 3,Ayala Malls South Park Cinema 1,Century City Mall Cinema 1,Commercenter Cinemas Cinema 1,Eastwood Citywalk 2 Cinema 1,Evia Lifestyle Center Cinema 3,Festival Cinema 1,Fisher Mall Cinema 5,Forum Robinsons Cinema 1,Gateway Cineplex 1,Glorietta 4 Cinema 1,Greenbelt Cinema 1,Greenhills Theater Mall Cinema 1,Isetann Cinerama 2,Lucky Chinatown Cinema 4,Market Market Cinema 5,One Mall Sky Theater Cinema 1,Power Plant Dolby Atmos Cinema 4,Robinsons Galleria Cinema 9,Robinsons Magnolia Cinema 4,Robinsons Manila Cinema 4 (Pedro Gil),Robinsons Metro East Cinema 7,Robinsons Place Las Piñas Cinema 4,SM Aura Premier Cinema 2,SM Center Sangandaan Cinema 2,SM City BF Parañaque Cinema 2,SM City Bicutan Cinema 1,SM City East Ortigas Digital Cinema 1,SM City Fairview Cinema 11,SM City Manila Cinema 4,SM City Marikina Digital Theater 1,SM City North EDSA - The Block Cinema 3,SM City Novaliches Cinema 2,SM City Sta. Mesa Cinema 1,SM City Sucat Cinema 2,SM Light Mall Cinema 1,SM Mall of Asia Center Stage,SM Megamall Digital Theater 1,SM Muntinlupa Cinema 1,SM San Lazaro Cinema 6,SM Southmall Digital Theater,SM Valenzuela Cinema 1,Santolan Town Plaza Power Plant Cinema 4,Starmall Alabang Cinema 1,Starmall EDSA-Shaw Cinema 1,TriNoma Cinema 1,Venice Cineplex Cinema 1,Vista Mall Las Piñas Cinema 4,Vista Mall Taguig Cinema 2,Waltermart Makati Cinema - 4",showing,PG,4.5 - critic's rating | read review, 
On Wings of Eagles,"Action, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16458.jpg,"Set in Northern Italy in 1983, it shows the romantic relationship between Elio, a 17-year-old living in Italy and his father's American assistant, Oliver.","Main Cast: Joseph Fiennes
Director: Michael Parker, Stephen Shin
Writer: Christopher C. Chan, Rubby Xu
",opened,"Ayala Fairview Terraces Cinema 3,Gateway Cineplex 4,Glorietta 4 Cinema 4,Greenhills Theater Mall Cinema 2,Market Market Cinema 2,Robinsons Galleria Cinema 8,SM City East Ortigas Director's Club Cinema 4,SM City Fairview Cinema 8,SM City Manila Cinema 8,SM City Marikina Cinema 7,SM City North EDSA Cinema 7,SM City Sta. Mesa Cinema 5,SM Mall of Asia Cinema 6,SM Megamall Cinema 12,SM Southmall Cinema 6,TriNoma Cinema 5",showing,PG,, 
Samson,"Action, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16438.jpg,"Paddington now happily settles with the Brown family. He then picks up a series of odd jobs to buy the perfect present for Aunt Lucy's 100th birthday, only for the gift to be stolen.","Main Cast: Taylor James
Director: Bruce Macdonald, Gabriel Sabloff
Writer: Galen Gilbert , Jason Baumgardner
Released By: Pioneer Films",opened,"Alabang Town Center Cinema 3,Ayala Fairview Terraces Cinema 5,Ayala Malls Cloverleaf Cinema 1,Ayala Malls Feliz Cinema 2,Ayala Malls South Park Cinema 3,Ayala Malls The 30th Cinema 4,Ayala Malls Vertis North Cinema 3,Blue Wave Cinema 2,Bonifacio High Street Cinema 2 (ATMOS),Eastwood Citywalk 2 Cinema 4,Evia Lifestyle Center Cinema 3,Festival Cinema 3,Fisher Mall Cinema 1,Forum Robinsons Cinema 1,Gateway Cineplex 6,Glorietta 4 Cinema 7,Greenbelt 3 Cinema 4,Greenhills Promenade Cinema 3,Market Market Cinema 7,One Mall Sky Theater Cinema 2,Power Plant Cinema 1,Robinsons Galleria Cinema 10,Robinsons Magnolia Cinema 4,Robinsons Manila Cinema 5 (Pedro Gil),Robinsons Metro East Cinema 5,Robinsons Place Las Piñas Cinema 4,S Maison Director's Club Cinema 2,SM Center Sangandaan Cinema 3,SM City Bicutan Cinema 2,SM City East Ortigas Director's Club Cinema 1,SM City Fairview Cinema 12,SM City Manila Cinema 1,SM City Marikina Digital Theater 2,SM City North EDSA Cinema 8,SM City Novaliches Cinema 2,SM City Sta. Mesa Cinema 2,SM City Sucat Cinema 1,SM Light Mall Cinema 2,SM Mall of Asia Cinema 3,SM Megamall Digital Theater 2,SM Muntinlupa Cinema 2,SM San Lazaro Cinema 1,SM Southmall Cinema 2,SM Valenzuela Cinema 4,Starmall Alabang Cinema 4,TriNoma Cinema 4,U.P. Town Center Cinema 3,Vista Mall Las Piñas Cinema 1,Waltermart Makati Cinema - 3",showing,PG,"
After losing the love of his life to a Philistine prince, a young Hebrew with supernatural strength defends his people, sacrificing everything to avenge his love, his people and his God.
",https://www.clickthecity.com/movies/video/3903
Earth To Echo,"Adventure, Sci-fi",https://cdn3.clickthecity.com/images/movies/poster/215/14472.jpg,,"Main Cast: Brian ""Astro"" Bradley, Ella Wahlestedt, Teo Halm
Director: Dave Green
Writer: Andrew Panay, Henry Gayden
Released By: Captive Cinema Distribution",opened,Isetann Cinerama 4,showing,PG,2.0 - critic's rating | read review, 
I Kill Giants,"Drama, Fantasy, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/16442.jpg,"An oddball girl named Barbara Thorson is a skilled giant killer. She conquers daily teenage struggles during the day, and hunts monsters at night.","Main Cast: Imogen Poots, Madison Wolfe, Zoe Saldana
Director: Anders Walter
Writer: Joe Kelly
Released By: Pioneer Films",opened,"Alabang Town Center Cinema 2,Ayala Fairview Terraces Cinema 6,Ayala Malls Cloverleaf Cinema 2,Ayala Malls Feliz Cinema 1,Ayala Malls South Park Cinema 3,Ayala Malls The 30th Cinema 2,Ayala Malls Vertis North Cinema 3,Bonifacio High Street Cinema 2 (ATMOS),Century City Mall Cinema 4,Commercenter Cinemas Cinema 2,Eastwood Citywalk 2 Cinema 3,Festival Cinema 7,Forum Robinsons Cinema 1,Gateway Cineplex 6,Glorietta 4 Cinema 7,Greenbelt 3 Cinema 1,Greenhills Promenade Cinema 5,Market Market Cinema 3,Power Plant Cinema 7,Robinsons Galleria Cinema 7,Robinsons Magnolia Cinema 1,Robinsons Manila Cinema 1 (Midtown),Robinsons Metro East Cinema 7,Robinsons Place Las Piñas Cinema 2,SM City BF Parañaque Director's Club 1,SM City East Ortigas Director's Club Cinema 3,SM City Fairview Cinema 9,SM City Marikina Cinema 6,SM City North EDSA Cinema 9,SM City Sta. Mesa Cinema 5,SM Mall of Asia Cinema 5,SM Megamall Cinema 9,SM San Lazaro Cinema 4,SM Southmall Cinema 6,SM Valenzuela Cinema 2,Santolan Town Plaza Power Plant Cinema 2,Shangri-la Plaza Cinema 3,TriNoma Cinema 6,U.P. Town Center Cinema 1",showing,PG,"
An oddball girl named Barbara Thorson is a skilled giant killer. She conquers daily teenage struggles during the day, and hunts monsters at night.
",https://www.clickthecity.com/movies/video/3918
Sherlock Gnomes,"Adventure, Animation, Comedy",https://cdn3.clickthecity.com/images/movies/poster/215/16333.jpg,"Garden gnomes, Gnomeo and Juliet recruits the renowned detective Sherlock Gnomes to investigate the disappearance of other garden gnomes.","Main Cast: Emily Blunt, James McAvoy, Johnny Depp
Director: John Stevenson
Writer: Andy Riley, Ben Zazove, Kevin Cecil
Released By: UIP-Columbia Pictures",opened,"Alabang Town Center Cinema 4,Ayala Fairview Terraces Cinema 5,Ayala Malls Cloverleaf Cinema 2,Ayala Malls Feliz Cinema 4,Ayala Malls South Park Cinema 4,Ayala Malls The 30th Cinema 1,Blue Wave Cinema 1,Bonifacio High Street Cinema 3,Cash & Carry Cinema 2,Century City Mall Cinema 2,Commercenter Cinemas Cinema 3,Eastwood Mall Cinema 5,Evia Lifestyle Center Cinema 3,Festival Cinema 6,Fisher Mall Cinema 1,Gateway Cineplex 6,Glorietta 4 Cinema 4,Greenbelt 3 Cinema 3,Greenhills Promenade Cinema 3,Market Market Cinema 6,One Mall Sky Theater Cinema 1,Power Plant Cinema 5,Power Plant Dolby Atmos Cinema 3,Robinsons Galleria Cinema 7,Robinsons Magnolia Cinema 3,Robinsons Manila Cinema 2 (Midtown),Robinsons Metro East Cinema 2,Robinsons Place Las Piñas Cinema 2,SM City BF Parañaque Director's Club 4,SM City East Ortigas Director's Club Cinema 3,SM City Fairview Cinema 5,SM City Manila Cinema 12,SM City Marikina Cinema 6,SM City North EDSA Cinema 11,SM City Sta. Mesa Cinema 9,SM Mall of Asia Cinema 8,SM Megamall Cinema 10,SM San Lazaro Cinema 4,Santolan Town Plaza Power Plant Cinema 4,Shangri-la Plaza Cinema 4,Starmall Alabang Cinema 1,TriNoma Cinema 5,U.P. Town Center Cinema 3,Uptown Mall Cinema 4,Venice Cineplex Cinema 2,Vista Mall Las Piñas Cinema 1",showing,PG,"
Garden gnomes, Gnomeo and Juliet recruits the renowned detective Sherlock Gnomes to investigate the disappearance of other garden gnomes.
",https://www.clickthecity.com/movies/video/3868
The Titan,Sci-fi,https://cdn3.clickthecity.com/images/movies/poster/215/16447.jpg,A military family takes part in a ground-breaking experiment of genetic evolution and space exploration.,"Main Cast: Sam Worthington
Director: Lennart Ruff
Writer: Arash Amel, Max Hurwitz
Released By: Pioneer Films",opened,"Alabang Town Center Cinema 1,Ali Mall Cineplex 3,Ayala Fairview Terraces Cinema 4,Ayala Malls Cloverleaf Cinema 4,Ayala Malls Feliz Cinema 1,Ayala Malls South Park Cinema 1,Ayala Malls Vertis North Cinema 3,Bonifacio High Street Cinema 3,Evia Lifestyle Center VIP Cinema 2,Fisher Mall Cinema 4,Forum Robinsons Cinema 2,Gateway Cineplex 10 (Platinum Cinema),Gateway Cineplex 4,Glorietta 4 Cinema 5,Greenbelt 3 Cinema 2,Greenhills Theater Mall Cinema 2,Isetann Cinerama 1,Market Market Cinema 5,One Mall Sky Theater Cinema 3,Power Plant Cinema 1,Robinsons Galleria Cinema 3,Robinsons Magnolia Cinema 2,Robinsons Manila Cinema 4 (Pedro Gil),Robinsons Metro East Cinema 3,Robinsons Place Las Piñas Cinema 1,SM Aura Premier Director's Club 1,SM City BF Parañaque Director's Club 3,SM City Bicutan Cinema 3,SM City East Ortigas Digital Cinema 4,SM City Fairview Cinema 7,SM City Manila Cinema 11,SM City Marikina Digital Theater 2,SM City North EDSA Cinema 10,SM City Novaliches Cinema 3,SM City Sta. Mesa Cinema 6,SM City Sucat Cinema 4,SM Mall of Asia Cinema 4,SM Megamall Cinema 8,SM Muntinlupa Cinema 4,SM San Lazaro Cinema 2,SM Southmall Cinema 7,SM Valenzuela Cinema 1,Starmall Alabang Cinema 2,TriNoma Cinema 1,U.P. Town Center Cinema 3,Vista Mall Las Piñas Cinema 2,Waltermart Makati Cinema - 1",showing,PG,"
A military family takes part in a ground-breaking experiment of genetic evolution and space exploration.
",https://www.clickthecity.com/movies/video/3922
A Wrinkle in Time,"Adventure, Family, Fantasy",https://cdn3.clickthecity.com/images/movies/poster/215/16367.jpg,"With the help of three astral travelers, a young girl goes on an adventure to space after the disappearance of her scientist father.","Main Cast: Oprah Winfrey, Reese Witherspoon, Storm Reid
Director: Ava DuVernay
Writer: Jeff Stockwell, Jennifer Lee, Madeleine L'Engle
Released By: Walt Disney Pictures",opened,"Alabang Town Center Cinema 5,Ayala Fairview Terraces Cinema 3,Ayala Malls Cloverleaf Cinema 5,Ayala Malls Feliz Cinema 3,Ayala Malls The 30th Cinema 3,Bonifacio High Street Cinema 1 (ATMOS),Century City Mall Cinema 4,Commercenter Cinemas Cinema 1,Eastwood Mall Cinema 6,Evia Lifestyle Center VIP Cinema 2,Festival Cinema 3,Fisher Mall VIP Cinema 2,Forum Robinsons Cinema 3,Gateway Cineplex 7,Glorietta 4 Cinema 1,Greenbelt 3 Cinema 5 in 3D,Greenhills Dolby Atmos Cinema 7,Lucky Chinatown Cinema 4,Market Market Cinema 4,Newport Cinema 3,Power Plant Dolby Atmos Cinema 2,Power Plant VIP Cinema 8,Robinsons Galleria Cinema 1,Robinsons Magnolia Cinema 3,Robinsons Manila Cinema 5 (Pedro Gil),Robinsons Metro East Cinema 8,Robinsons Place Las Piñas Cinema 4,S Maison Director's Club Cinema 3,SM Aura Premier Cinema 1,SM Aura Premier IMAX in 3D,SM City Bicutan Cinema 1,SM City East Ortigas Director's Club Cinema 4,SM City Fairview Cinema 1,SM City Manila Cinema 3,SM City Marikina Digital Theater 1,SM City North EDSA - The Block Cinema 2,SM City Sta. Mesa Cinema 8,SM City Sucat Cinema 2,SM Light Mall Cinema 2,SM Mall of Asia Cinema 8,SM Mall of Asia IMAX in 3D,SM Megamall Cinema 12,SM Megamall IMAX in 3D,SM Muntinlupa Cinema 1,SM San Lazaro Cinema 3,SM Southmall Cinema 5,Santolan Town Plaza Power Plant Cinema 1,Shangri-la Plaza Cinema 1,TriNoma Cinema 2,U.P. Town Center Cinema 4 in 3D,Uptown Mall Cinema 1,Uptown Mall VIP Cinema,Venice Cineplex Cinema 5,Venice Cineplex VIP Cinema,Vista Mall Las Piñas Cinema 2,Waltermart Makati Cinema - 3",showing,G,3.0 - critic's rating | read review, 
Game Night,"Comedy, Crime, Mystery",https://cdn3.clickthecity.com/images/movies/poster/215/16073.jpg,It follows a group of friends whose ordinary game night turns into a real-life murder mystery game.,"Main Cast: Jason Bateman, Rachel McAdams
Director: John Francis Daley, Jonathan Goldstein
Writer: Mark Perez
Released By: Warner Bros. Pictures",opened,"Bonifacio High Street Cinema 1 (ATMOS),Century City Mall Cinema 1,Commercenter Cinemas Cinema 3,Eastwood Citywalk 2 Cinema 1,Gateway Cineplex 8,Greenhills Promenade Cinema 4,Power Plant Dolby Atmos Cinema 6,SM Mall of Asia Cinema 7,SM Megamall Cinema 11,Vista Mall Las Piñas Cinema 4",showing,R-13,4.0 - critic's rating | read review,https://www.clickthecity.com/movies/video/3907
The Hurricane Heist,"Action, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/16441.jpg,A group of thieves attempts a massive heist against the U.S. Treasury and uses a Category 5 hurricane to cover their tracks.,"Main Cast: Maggie Grace, Ryan Kwanten, Toby Kebbell
Director: Rob Cohen
Writer: Carlos Davis, Jeff Dixon
Released By: Pioneer Films",opened,"Ali Mall Cineplex 4,Ayala Malls Cloverleaf Cinema 1,Evia Lifestyle Center Cinema 4,Festival Cinema 9,Forum Robinsons Cinema 2,Gateway Cineplex 9,Market Market Cinema 2,Robinsons Galleria Cinema 2,Robinsons Manila Cinema 5 (Pedro Gil),Robinsons Metro East Cinema 8,SM City East Ortigas Digital Cinema 3,SM City Fairview Cinema 10,SM City Manila Cinema 1,SM City North EDSA Cinema 5,SM City Novaliches Cinema 1,SM City Sta. Mesa Cinema 1,SM Mall of Asia Cinema 2,SM Megamall Digital Theater 1,SM Southmall Cinema 2,Starmall Alabang Cinema 2,TriNoma Cinema 4,Vista Mall Las Piñas Cinema 2",showing,PG,"
A group of thieves attempts a massive heist against the U.S. Treasury and uses a Category 5 hurricane to cover their tracks.
",https://www.clickthecity.com/movies/video/3917
